"PRODUCT","NOUSCD","NUM","MIN","MAX"
"20-GE","999-9999",10,1.95,0.00
"20-GE","999-9999",20,50.00,70.00
"20-GE","999-9999",30,1.00,5.00
"20-GE","999-9999",40,104.00,114.00
"20-GE","999-9999",50,0.00,0.00
"20-GE","999-9999",60,0.00,0.00
"20-GE","999-9999",70,0.10,0.50
"20-GE","999-9999",80,4.50,6.50
"20-GE","999-9999",90,16.00,19.00
"20-GE","999-9999",100,29.80,31.80
"20-GE","999-9999",110,32.50,36.50
"20-GE","999-9999",120,8.50,11.50
"20-GE","999-9999",130,1.00,2.50
"20-GE","999-9999",140,0.10,0.40
"20-GE","999-9999",150,0.00,0.10
"20-GE","999-9999",160,0.00,0.00
"21-ASP7","999-9999",10,2.40,0.00
"21-ASP7","999-9999",20,67.00,87.00
"21-ASP7","999-9999",30,0.20,5.00
"21-ASP7","999-9999",40,93.00,103.00
"21-ASP7","999-9999",50,0.00,0.00
"21-ASP7","999-9999",60,0.00,0.10
"21-ASP7","999-9999",70,0.00,0.30
"21-ASP7","999-9999",80,1.80,5.00
"21-ASP7","999-9999",90,15.50,21.00
"21-ASP7","999-9999",100,28.00,40.00
"21-ASP7","999-9999",110,25.00,35.00
"21-ASP7","999-9999",120,2.50,7.00
"21-ASP7","999-9999",130,1.50,3.00
"21-ASP7","999-9999",140,0.00,0.80
"21-ASP7","999-9999",150,0.00,0.10
"21-ASP7","999-9999",160,0.00,0.00
"35-713","999-9999",10,3.50,0.00
"35-713","999-9999",20,46.00,66.00
"35-713","999-9999",30,0.80,6.00
"35-713","999-9999",40,88.00,100.00
"35-713","999-9999",50,0.00,0.00
"35-713","999-9999",60,0.00,0.00
"35-713","999-9999",70,0.00,0.00
"35-713","999-9999",80,0.00,0.30
"35-713","999-9999",90,0.30,1.00
"35-713","999-9999",100,1.00,4.00
"35-713","999-9999",110,10.00,16.00
"35-713","999-9999",120,45.00,56.00
"35-713","999-9999",130,25.00,35.00
"35-713","999-9999",140,4.00,11.00
"35-713","999-9999",150,0.50,1.50
"35-713","999-9999",160,0.00,0.00
"A-20","999-9999",10,2.00,0.00
"A-20","999-9999",20,36.50,39.50
"A-20","999-9999",30,0.30,3.00
"A-20","999-9999",40,102.00,105.00
"A-20","999-9999",50,0.00,0.00
"A-20","999-9999",60,0.00,0.00
"A-20","999-9999",70,0.10,0.40
"A-20","999-9999",80,2.50,5.50
"A-20","999-9999",90,13.50,16.50
"A-20","999-9999",100,27.00,31.00
"A-20","999-9999",110,32.00,37.00
"A-20","999-9999",120,12.00,15.00
"A-20","999-9999",130,2.00,4.00
"A-20","999-9999",140,0.20,0.60
"A-20","999-9999",150,0.10,0.20
"A-20","999-9999",160,0.00,0.00
"A-22U","999-9999",10,2.20,0.00
"A-22U","999-9999",20,35.50,40.50
"A-22U","999-9999",30,0.80,3.50
"A-22U","999-9999",40,116.00,118.00
"A-22U","999-9999",50,0.00,0.00
"A-22U","999-9999",60,0.00,0.00
"A-22U","999-9999",70,0.10,0.40
"A-22U","999-9999",80,2.50,5.50
"A-22U","999-9999",90,13.50,16.50
"A-22U","999-9999",100,27.00,31.00
"A-22U","999-9999",110,32.00,37.00
"A-22U","999-9999",120,12.00,15.00
"A-22U","999-9999",130,2.00,4.00
"A-22U","999-9999",140,0.20,0.60
"A-22U","999-9999",150,0.10,0.20
"A-22U","999-9999",160,0.00,0.00
"A-23A","999-9999",10,2.30,0.00
"A-23A","999-9999",20,43.00,53.00
"A-23A","999-9999",30,0.30,3.00
"A-23A","999-9999",40,102.00,110.00
"A-23A","999-9999",50,0.00,0.00
"A-23A","999-9999",60,0.00,0.00
"A-23A","999-9999",70,0.10,0.40
"A-23A","999-9999",80,2.50,5.50
"A-23A","999-9999",90,13.50,16.50
"A-23A","999-9999",100,27.00,31.00
"A-23A","999-9999",110,32.00,37.00
"A-23A","999-9999",120,12.00,15.00
"A-23A","999-9999",130,2.00,4.00
"A-23A","999-9999",140,0.20,0.60
"A-23A","999-9999",150,0.10,0.20
"A-23A","999-9999",160,0.00,0.00
"A-25","999-9999",10,2.50,0.00
"A-25","999-9999",20,47.00,51.00
"A-25","999-9999",30,0.30,4.00
"A-25","999-9999",40,100.00,103.00
"A-25","999-9999",50,0.00,0.00
"A-25","999-9999",60,0.00,0.00
"A-25","999-9999",70,0.10,0.40
"A-25","999-9999",80,2.50,5.50
"A-25","999-9999",90,13.50,16.50
"A-25","999-9999",100,27.00,31.00
"A-25","999-9999",110,32.00,37.00
"A-25","999-9999",120,12.00,15.00
"A-25","999-9999",130,2.00,4.00
"A-25","999-9999",140,0.20,0.60
"A-25","999-9999",150,0.10,0.20
"A-25","999-9999",160,0.00,0.00
"A-25A","999-9999",10,2.50,0.00
"A-25A","999-9999",20,48.00,52.00
"A-25A","999-9999",30,0.30,4.00
"A-25A","999-9999",40,103.00,107.00
"A-25A","999-9999",50,0.00,0.00
"A-25A","999-9999",60,0.00,0.00
"A-25A","999-9999",70,0.10,0.40
"A-25A","999-9999",80,2.50,5.50
"A-25A","999-9999",90,13.50,16.50
"A-25A","999-9999",100,27.00,31.00
"A-25A","999-9999",110,32.00,37.00
"A-25A","999-9999",120,12.00,15.00
"A-25A","999-9999",130,2.00,4.00
"A-25A","999-9999",140,0.20,0.60
"A-25A","999-9999",150,0.10,0.20
"A-25A","999-9999",160,0.00,0.00
"A-25P","999-9999",10,2.50,0.00
"A-25P","999-9999",20,45.10,48.90
"A-25P","999-9999",30,0.30,4.00
"A-25P","999-9999",40,101.00,104.00
"A-25P","999-9999",50,0.00,0.00
"A-25P","999-9999",60,0.00,0.00
"A-25P","999-9999",70,0.10,0.40
"A-25P","999-9999",80,2.50,5.50
"A-25P","999-9999",90,13.50,16.50
"A-25P","999-9999",100,27.00,31.00
"A-25P","999-9999",110,32.00,37.00
"A-25P","999-9999",120,12.00,15.00
"A-25P","999-9999",130,2.00,4.00
"A-25P","999-9999",140,0.20,0.60
"A-25P","999-9999",150,0.10,0.20
"A-25P","999-9999",160,0.00,0.00
"A-28A","999-9999",10,2.80,0.00
"A-28A","999-9999",20,56.00,65.00
"A-28A","999-9999",30,0.50,4.00
"A-28A","999-9999",40,100.00,105.00
"A-28A","999-9999",50,0.00,0.00
"A-28A","999-9999",60,0.00,0.00
"A-28A","999-9999",70,0.10,0.50
"A-28A","999-9999",80,4.50,6.50
"A-28A","999-9999",90,16.00,19.00
"A-28A","999-9999",100,29.80,31.80
"A-28A","999-9999",110,32.50,36.50
"A-28A","999-9999",120,8.50,11.50
"A-28A","999-9999",130,1.00,2.50
"A-28A","999-9999",140,0.10,0.40
"A-28A","999-9999",150,0.00,0.10
"A-28A","999-9999",160,0.00,0.00
"A-30","999-9999",10,2.90,0.00
"A-30","999-9999",20,62.50,67.50
"A-30","999-9999",30,2.00,5.00
"A-30","999-9999",40,95.00,105.00
"A-30","999-9999",50,0.00,0.00
"A-30","999-9999",60,0.00,0.00
"A-30","999-9999",70,0.00,0.30
"A-30","999-9999",80,1.00,5.00
"A-30","999-9999",90,11.00,17.00
"A-30","999-9999",100,24.00,30.00
"A-30","999-9999",110,30.00,36.00
"A-30","999-9999",120,11.00,17.00
"A-30","999-9999",130,1.50,5.00
"A-30","999-9999",140,0.00,0.50
"A-30","999-9999",150,0.00,0.10
"A-30","999-9999",160,58.00,70.00
"A-30.","999-9999",10,3.00,0.00
"A-30.","999-9999",20,58.50,64.50
"A-30.","999-9999",30,0.30,5.00
"A-30.","999-9999",40,99.00,102.00
"A-30.","999-9999",50,0.00,0.00
"A-30.","999-9999",60,0.00,0.00
"A-30.","999-9999",70,0.10,0.40
"A-30.","999-9999",80,2.50,5.50
"A-30.","999-9999",90,13.50,16.50
"A-30.","999-9999",100,27.00,31.00
"A-30.","999-9999",110,32.00,37.00
"A-30.","999-9999",120,12.00,15.00
"A-30.","999-9999",130,2.00,4.00
"A-30.","999-9999",140,0.20,0.60
"A-30.","999-9999",150,0.00,0.20
"A-30.","999-9999",160,0.00,0.00
"A-30DHR","999-9999",10,3.00,0.00
"A-30DHR","999-9999",20,69.00,78.00
"A-30DHR","999-9999",30,0.50,3.00
"A-30DHR","999-9999",40,92.00,96.00
"A-30DHR","999-9999",50,0.00,0.00
"A-30DHR","999-9999",60,0.00,0.00
"A-30DHR","999-9999",70,0.10,0.40
"A-30DHR","999-9999",80,2.50,5.50
"A-30DHR","999-9999",90,13.50,16.50
"A-30DHR","999-9999",100,27.00,31.00
"A-30DHR","999-9999",110,32.00,37.00
"A-30DHR","999-9999",120,12.00,15.00
"A-30DHR","999-9999",130,2.00,4.00
"A-30DHR","999-9999",140,0.20,0.60
"A-30DHR","999-9999",150,0.10,0.20
"A-30DHR","999-9999",160,0.00,0.00
"A-30P","999-9999",10,3.00,0.00
"A-30P","999-9999",20,60.40,65.50
"A-30P","999-9999",30,0.30,5.00
"A-30P","999-9999",40,99.00,102.00
"A-30P","999-9999",50,0.00,0.00
"A-30P","999-9999",60,0.00,0.00
"A-30P","999-9999",70,0.10,0.40
"A-30P","999-9999",80,2.50,5.50
"A-30P","999-9999",90,13.50,16.50
"A-30P","999-9999",100,27.00,31.00
"A-30P","999-9999",110,32.00,37.00
"A-30P","999-9999",120,12.00,15.00
"A-30P","999-9999",130,2.00,4.00
"A-30P","999-9999",140,0.20,0.60
"A-30P","999-9999",150,0.10,0.20
"A-30P","999-9999",160,0.00,0.00
"A-30PR","999-9999",10,3.00,0.00
"A-30PR","999-9999",20,60.40,65.60
"A-30PR","999-9999",30,0.30,5.00
"A-30PR","999-9999",40,99.00,102.00
"A-30PR","999-9999",50,0.00,0.00
"A-30PR","999-9999",60,0.00,0.00
"A-30PR","999-9999",70,0.10,0.40
"A-30PR","999-9999",80,2.50,5.50
"A-30PR","999-9999",90,13.50,16.50
"A-30PR","999-9999",100,27.00,31.00
"A-30PR","999-9999",110,32.00,37.00
"A-30PR","999-9999",120,12.00,15.00
"A-30PR","999-9999",130,2.00,4.00
"A-30PR","999-9999",140,0.20,0.60
"A-30PR","999-9999",150,0.10,0.20
"A-30PR","999-9999",160,58.00,69.00
"A-35S","999-9999",10,3.50,0.00
"A-35S","999-9999",20,63.50,69.00
"A-35S","999-9999",30,0.80,4.00
"A-35S","999-9999",40,102.00,104.00
"A-35S","999-9999",50,0.00,0.00
"A-35S","999-9999",60,0.00,0.00
"A-35S","999-9999",70,0.20,0.60
"A-35S","999-9999",80,4.60,6.60
"A-35S","999-9999",90,16.00,19.00
"A-35S","999-9999",100,31.50,34.00
"A-35S","999-9999",110,30.00,32.50
"A-35S","999-9999",120,9.00,12.00
"A-35S","999-9999",130,1.10,2.10
"A-35S","999-9999",140,0.10,0.40
"A-35S","999-9999",150,0.00,0.10
"A-35S","999-9999",160,0.00,0.00
"A-40DHR","999-9999",10,4.00,0.00
"A-40DHR","999-9999",20,92.20,99.80
"A-40DHR","999-9999",30,0.30,6.00
"A-40DHR","999-9999",40,95.00,98.00
"A-40DHR","999-9999",50,0.00,0.00
"A-40DHR","999-9999",60,0.00,0.00
"A-40DHR","999-9999",70,0.10,0.40
"A-40DHR","999-9999",80,2.50,5.50
"A-40DHR","999-9999",90,13.50,16.50
"A-40DHR","999-9999",100,27.00,31.00
"A-40DHR","999-9999",110,32.00,37.00
"A-40DHR","999-9999",120,12.00,15.00
"A-40DHR","999-9999",130,2.00,4.00
"A-40DHR","999-9999",140,0.20,0.60
"A-40DHR","999-9999",150,0.10,0.20
"A-40DHR","999-9999",160,0.00,0.00
"A-40DNR","999-9999",10,4.00,0.00
"A-40DNR","999-9999",20,86.40,93.60
"A-40DNR","999-9999",30,0.30,6.00
"A-40DNR","999-9999",40,96.00,99.00
"A-40DNR","999-9999",50,0.00,0.00
"A-40DNR","999-9999",60,0.00,0.00
"A-40DNR","999-9999",70,0.10,0.40
"A-40DNR","999-9999",80,2.50,5.50
"A-40DNR","999-9999",90,13.50,16.50
"A-40DNR","999-9999",100,27.00,31.00
"A-40DNR","999-9999",110,32.00,37.00
"A-40DNR","999-9999",120,12.00,15.00
"A-40DNR","999-9999",130,2.00,4.00
"A-40DNR","999-9999",140,0.20,0.60
"A-40DNR","999-9999",150,0.10,0.20
"A-40DNR","999-9999",160,0.00,0.00
"A-40DR","999-9999",10,4.00,0.00
"A-40DR","999-9999",20,92.20,99.80
"A-40DR","999-9999",30,0.30,6.00
"A-40DR","999-9999",40,95.00,98.00
"A-40DR","999-9999",50,0.00,0.00
"A-40DR","999-9999",60,0.00,0.00
"A-40DR","999-9999",70,0.10,0.40
"A-40DR","999-9999",80,2.50,5.50
"A-40DR","999-9999",90,13.50,16.50
"A-40DR","999-9999",100,27.00,31.00
"A-40DR","999-9999",110,32.00,37.00
"A-40DR","999-9999",120,12.00,15.00
"A-40DR","999-9999",130,2.00,4.00
"A-40DR","999-9999",140,0.20,0.60
"A-40DR","999-9999",150,0.10,0.20
"A-40DR","999-9999",160,0.00,0.00
"A-40L","999-9999",10,4.00,0.00
"A-40L","999-9999",20,85.40,92.60
"A-40L","999-9999",30,0.30,6.00
"A-40L","999-9999",40,93.00,96.00
"A-40L","999-9999",50,0.00,0.00
"A-40L","999-9999",60,0.00,0.00
"A-40L","999-9999",70,0.10,0.40
"A-40L","999-9999",80,2.50,5.50
"A-40L","999-9999",90,13.50,16.50
"A-40L","999-9999",100,27.00,31.00
"A-40L","999-9999",110,32.00,37.00
"A-40L","999-9999",120,12.00,15.00
"A-40L","999-9999",130,2.00,4.00
"A-40L","999-9999",140,0.20,0.60
"A-40L","999-9999",150,0.10,0.20
"A-40L","999-9999",160,0.00,0.00
"A-40P","999-9999",10,4.00,0.00
"A-40P","999-9999",20,71.00,77.00
"A-40P","999-9999",30,0.30,5.00
"A-40P","999-9999",40,97.00,100.00
"A-40P","999-9999",50,0.00,0.00
"A-40P","999-9999",60,0.00,0.00
"A-40P","999-9999",70,0.10,0.40
"A-40P","999-9999",80,2.50,5.50
"A-40P","999-9999",90,13.50,16.50
"A-40P","999-9999",100,27.00,31.00
"A-40P","999-9999",110,32.00,37.00
"A-40P","999-9999",120,12.00,15.00
"A-40P","999-9999",130,2.00,4.00
"A-40P","999-9999",140,0.20,0.60
"A-40P","999-9999",150,0.10,0.20
"A-40P","999-9999",160,60.00,70.00
"A-50PT","999-9999",10,5.00,0.00
"A-50PT","999-9999",20,81.50,88.50
"A-50PT","999-9999",30,0.30,5.00
"A-50PT","999-9999",40,99.00,103.00
"A-50PT","999-9999",50,0.00,0.00
"A-50PT","999-9999",60,0.00,0.00
"A-50PT","999-9999",70,0.10,0.40
"A-50PT","999-9999",80,2.50,5.50
"A-50PT","999-9999",90,13.50,16.50
"A-50PT","999-9999",100,27.00,31.00
"A-50PT","999-9999",110,32.00,37.00
"A-50PT","999-9999",120,12.00,15.00
"A-50PT","999-9999",130,2.00,4.00
"A-50PT","999-9999",140,0.20,0.60
"A-50PT","999-9999",150,0.10,0.20
"A-50PT","999-9999",160,0.00,0.00
"A-632ES","999-9999",10,3.00,0.00
"A-632ES","999-9999",20,60.00,66.00
"A-632ES","999-9999",30,0.30,5.00
"A-632ES","999-9999",40,99.00,102.00
"A-632ES","999-9999",50,0.00,0.00
"A-632ES","999-9999",60,0.00,0.00
"A-632ES","999-9999",70,0.10,0.40
"A-632ES","999-9999",80,2.50,5.50
"A-632ES","999-9999",90,13.50,16.50
"A-632ES","999-9999",100,27.00,31.00
"A-632ES","999-9999",110,32.00,37.00
"A-632ES","999-9999",120,12.00,15.00
