"JuchuuNO","JuchuuDenpyouNO","JuchuuKyotenCD","JuchuuKyotenNM","JuchuuYMD","Nouki","ShukkaKyotenCD","ShukkaBashoCD","JuchuuKBN","HaisouCD","ChikuCD","NouSCD","NouSSNM","UserHinban","UserHinmei","ItemCD","ItemNM","JuchuuSuu","NisugataCD","UriKeitaiKBN","Tekiyou1","TankaUnitCD"
1862,1841,"415","北陸(営)",2012/03/30,2012/04/02,"310","310-RCS01","1","1.持込","415-00","415-03896","シーケー金属（株）","FB-27AW","コーテッド　ＦＢ－２７ＡＷ","11-FB-27AW","コーテッド　ＦＢ－２７ＡＷ",2000,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1891,1853,"415","北陸(営)",2012/04/03,2012/04/04,"310","310-RCS01","1","1.持込","415-00","415-03896","シーケー金属（株）","FB-27AW","コーテッド　ＦＢ－２７ＡＷ","11-FB-27AW","コーテッド　ＦＢ－２７ＡＷ",4000,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1902,1858,"415","北陸(営)",2012/04/03,2012/04/06,"310","310-RCS01","1","1.持込","415-00","415-03896","シーケー金属（株）","FB-27AW","コーテッド　ＦＢ－２７ＡＷ","11-FB-27AW","コーテッド　ＦＢ－２７ＡＷ",3000,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1949,1875,"415","北陸(営)",2012/04/06,2012/04/10,"310","310-RCS01","1","1.持込","415-00","415-03896","シーケー金属（株）","FB-27AW","コーテッド　ＦＢ－２７ＡＷ","11-FB-27AW","コーテッド　ＦＢ－２７ＡＷ",2000,"ﾌﾚｺﾝ(500Kg)","","","Kg"
1995,1894,"415","北陸(営)",2012/04/12,2012/04/16,"310","310-RCS01","1","1.持込","415-00","415-03896","シーケー金属（株）","FB-27AW","コーテッド　ＦＢ－２７ＡＷ","11-FB-27AW","コーテッド　ＦＢ－２７ＡＷ",2000,"ﾌﾚｺﾝ(500Kg)","","","Kg"
2030,1912,"415","北陸(営)",2012/04/17,2012/04/18,"310","310-RCS01","1","1.持込","415-00","415-03896","シーケー金属（株）","FB-27AW","コーテッド　ＦＢ－２７ＡＷ","11-FB-27AW","コーテッド　ＦＢ－２７ＡＷ",3000,"ﾌﾚｺﾝ(500Kg)","","","Kg"
2048,1920,"415","北陸(営)",2012/04/19,2012/04/20,"310","310-RCS01","1","1.持込","415-00","415-03896","シーケー金属（株）","FB-27AW","コーテッド　ＦＢ－２７ＡＷ","11-FB-27AW","コーテッド　ＦＢ－２７ＡＷ",3000,"ﾌﾚｺﾝ(500Kg)","","","Kg"
2068,1931,"415","北陸(営)",2012/04/19,2012/04/23,"310","310-RCS01","1","1.持込","415-00","415-03896","シーケー金属（株）","FB-27AW","コーテッド　ＦＢ－２７ＡＷ","11-FB-27AW","コーテッド　ＦＢ－２７ＡＷ",1000,"ﾌﾚｺﾝ(500Kg)","","","Kg"
2071,1931,"415","北陸(営)",2012/04/19,2012/04/26,"310","310-RCS01","1","1.持込","415-00","415-03896","シーケー金属（株）","FB-27AW","コーテッド　ＦＢ－２７ＡＷ","11-FB-27AW","コーテッド　ＦＢ－２７ＡＷ",2000,"ﾌﾚｺﾝ(500Kg)","","","Kg"
2074,1931,"415","北陸(営)",2012/04/19,2012/04/28,"310","310-RCS01","1","1.持込","415-00","415-03896","シーケー金属（株）","FB-27AW","コーテッド　ＦＢ－２７ＡＷ","11-FB-27AW","コーテッド　ＦＢ－２７ＡＷ",2000,"ﾌﾚｺﾝ(500Kg)","","","Kg"
2083,1932,"415","北陸(営)",2012/04/19,2012/05/07,"310","310-RCS01","1","1.持込","415-00","415-03896","シーケー金属（株）","FB-27AW","コーテッド　ＦＢ－２７ＡＷ","11-FB-27AW","コーテッド　ＦＢ－２７ＡＷ",2000,"ﾌﾚｺﾝ(500Kg)","","","Kg"
19968,10907,"410","野間（営）",2012/10/03,2012/10/09,"310","310-RCS09","1","1.持込","410-03","410-99114","大谷シェル","FB-1","コーテッド　ＦＢ－１","11-FB-27AW","コーテッド　ＦＢ－２７ＡＷ",1000,"ﾏﾃﾗﾝ紙袋","","","Kg"
