JUCHUUNO,NUM,LOTNO,USERHINBAN,NOUSCD,T10,T20,T30,T40,T50,T60,T70,T80,T90,T100,T110,T120,T130,T140,T150,T160,UPTIME,NOUKI,NOUSSNM,NISUGATACD,JUCHUSUU,SUUJP,TANTOU1,TANTOU2,TANTOU3,COMM,PRINTDT,MA150,MA20,MA30
-1377,1,125022704,RS-25,999-9999,2.5,74.4,2.4,103,0,0,0.1,2.6,10.4,22.9,40.5,19.4,4.1,0,0,69.9,2/28/2025 10:39,3/3/2025,アイシン高丘（株）・本社,フレコン,0,2000kg,,,,"抗折力　　65～80	粒度分布　65～75	粘着点　　97～107",12/31/9999,,,
-1376,1,125022704,RS-25,999-9999,2.5,74.4,2.4,103,0,0,0.1,2.6,10.4,22.9,40.5,19.4,4.1,0,0,69.9,2/28/2025 10:39,3/3/2025,榊原工業（株）・豊田工場,フレコン,0,3000kg,,,,"抗折力　　65～80	粒度分布　65～75	粘着点　　97～107",12/31/9999,,,
-1375,1,125022704,RS-25,999-9999,2.5,74.4,2.4,103,0,0,0.1,2.6,10.4,22.9,40.5,19.4,4.1,0,0,69.9,2/28/2025 10:39,3/3/2025,クロタ精工（株）・豊田工場,フレコン,0,1000kg,,,,"抗折力　　65～80	粒度分布　65～75	粘着点　　97～107",12/31/9999,,,
-1374,1,125022606,RS-25TT,999-9999,2.5,72,5,104,0,0,0.5,6.8,20.5,28.1,33.5,9.2,1.3,0.1,0,59.06,2/28/2025 10:26,3/3/2025,クロタ精工（株）・豊田工場,フレコン,0,4000kg,,,,,12/31/9999,,,
-1373,1,125022004,RS-25-T4,999-9999,2.5,70.4,1.4,101,0,0,0.8,5,17.1,37.1,32,7,0.7,0.3,0,58.03,2/21/2025 11:11,3/3/2025,クロタ精工（株）・豊田工場,フレコン,0,3000kg,,,,,12/31/9999,,,
-1372,1,125022704,RS-25,999-9999,2.5,74.4,2.4,103,0,0,0.1,2.6,10.4,22.9,40.5,19.4,4.1,0,0,69.9,2/28/2025 10:39,3/3/2025,クロタ精工（株）・豊田工場,フレコン,0,2000kg,,,,"抗折力　　65～80	粒度分布　65～75	粘着点　　97～107",12/31/9999,,,
-1371,1,125022004,RS-25-T4,999-9999,2.5,70.4,1.4,101,0,0,0.8,5,17.1,37.1,32,7,0.7,0.3,0,58.03,2/21/2025 11:11,3/3/2025,クロタ精工（株）・豊田工場,フレコン,0,2000kg,,,,,12/31/9999,,,
-1370,1,125022606,RS-25TT,999-9999,2.5,72,5,104,0,0,0.5,6.8,20.5,28.1,33.5,9.2,1.3,0.1,0,59.06,2/28/2025 10:26,3/3/2025,クロタ精工（株）・豊田工場,フレコン,0,2000kg,,,,,12/31/9999,,,
-1369,1,125022606,RS-25TT,999-9999,2.5,72,5,104,0,0,0.5,6.8,20.5,28.1,33.5,9.2,1.3,0.1,0,59.06,2/28/2025 10:26,3/3/2025,クロタ精工（株）・豊田工場,フレコン,0,2000kg,,,,,12/31/9999,,,
-1368,1,125022606,RS-25TT,999-9999,2.5,72,5,104,0,0,0.5,6.8,20.5,28.1,33.5,9.2,1.3,0.1,0,59.06,2/28/2025 10:26,3/3/2025,クロタ精工（株）・豊田工場,フレコン,0,3000kg,,,,,12/31/9999,,,
-1367,1,125022012,SK-26,999-9999,2.6,82.5,5.6,96,0,0,0.3,3.9,17.3,29.8,35.4,11.8,1.4,0.1,0,61.79,3/3/2025 10:12,3/3/2025,榊原工業（株）・本社工場,フレコン,0,4500kg,,,,,12/31/9999,,,
-1366,1,125022854,SB-275,999-9999,2.75,71.4,1.6,103,0,0,0.2,6.8,17.4,32.2,28.5,10.7,3.8,0.4,0,61.91,3/3/2025 9:35,3/3/2025,（株）SRサービス,フレコン,0,500kg,,,,,12/31/9999,,,
-1365,1,125021404,SKY-1,999-9999,2.65,73.7,1.4,96,0,0.2,0.4,4.3,17.7,23.8,32,16.4,4.7,0.5,0,66.75,2/28/2025 8:40,3/3/2025,（株）SRサービス,フレコン,0,500kg,,,,,12/31/9999,,,
-1364,1,225022803,RA-32C,999-9999,3.2,86.4,3.4,103,0,0.2,0.5,3.9,20.7,34.4,30.2,9.4,0.6,0.1,0,58.35,3/3/2025 8:47,3/3/2025,（株）SRサービス,フレコン,0,500kg,,,,,12/31/9999,,,
-1363,1,225022807,F-20D,999-9999,2,70.6,0,97,0,0,0.2,4.3,24.5,26,31,12.9,1,0.1,0,60.33,3/3/2025 8:44,3/3/2025,（株）SRサービス,フレコン,0,500kg,,,,,12/31/9999,,,
-1362,1,125021312,B-30D,999-9999,3,78.1,4.6,96,0,0.1,0.3,4.1,18.4,32.2,33.4,10.4,0.9,0.1,0.1,60.3,2/28/2025 8:33,3/3/2025,（株）SRサービス,フレコン,0,500kg,,,,,12/31/9999,,,
-1361,1,125022407,SK-25カイ,999-9999,2.5,73.7,0.8,101,0,0.2,0.5,2.7,13.3,23.3,37.9,16.9,4.8,0.4,0,68.84,3/3/2025 8:43,3/3/2025,榊原工業（株）・坂田A棟,フレコン,0,1500kg,,,,,12/31/9999,,,
-1360,1,125021404,SKY-1,999-9999,2.65,73.7,1.4,96,0,0.2,0.4,4.3,17.7,23.8,32,16.4,4.7,0.5,0,66.75,2/28/2025 8:40,3/3/2025,南部製作所,フレコン,0,500kg,,,,,12/31/9999,,,
-1359,1,125022108,YS-1NK,999-9999,2.7,74.3,3.8,101,0,0.2,0.8,5.5,21.4,29,28.8,11.9,2.2,0.2,0,60.43,3/3/2025 8:41,3/3/2025,榊原工業（株）・坂田A棟,フレコン,0,2000kg,,,,,12/31/9999,,,
-1358,1,225022403,Y-3,999-9999,2.75,71.3,8.6,98,0,0.1,0.4,3.2,11.5,19.3,33.6,23.2,7.6,0.9,0.2,75.06,2/27/2025 10:05,3/3/2025,榊原工業（株）・坂田A棟,フレコン,0,500kg,,,,,12/31/9999,,,
-1357,1,225022716,Y-3,999-9999,2.75,74.7,5,98,0,0.1,0.3,3.3,13.1,20.1,31.5,22.9,7.8,0.9,0,74.02,3/3/2025 8:40,3/3/2025,榊原工業（株）・坂田A棟,フレコン,0,1500kg,,,,,12/31/9999,,,
-1356,1,125021903,KT-26,999-9999,2.6,76.2,1.4,103,0,0.2,0.3,3.4,10.2,19.3,30.6,28,7,0.8,0.2,76.25,2/21/2025 8:26,3/3/2025,クロタ精工（株）,フレコン,0,6000kg,,,,,12/31/9999,,,
-1355,1,225022615,KRS-25,999-9999,2.5,65.6,2.6,92,0,0,0.1,2.6,12.4,21.1,36.9,22.8,4.1,0,0,70.68,2/28/2025 8:27,3/3/2025,クロタ精工（株）,フレコン,0,1000kg,,,,,12/31/9999,,,
-1354,1,125022704,RS-25,999-9999,2.5,74.4,2.4,103,0,0,0.1,2.6,10.4,22.9,40.5,19.4,4.1,0,0,69.9,2/28/2025 10:39,3/3/2025,クロタ精工（株）,フレコン,0,5000kg,,,,,12/31/9999,,,
-1353,1,125022704,RS-25,999-9999,2.5,74.4,2.4,103,0,0,0.1,2.6,10.4,22.9,40.5,19.4,4.1,0,0,69.9,2/28/2025 10:39,3/3/2025,クロタ精工（株）・安城工場,フレコン,0,3000kg,,,,"抗折力　　65～80	粒度分布　65～75	粘着点　　97～107",12/31/9999,,,
-1352,1,225022717,SK-25PR,999-9999,2.5,66,7,105,0,0,0.2,3.7,13.8,29.9,35.4,14.9,1.8,0.2,0.1,64.52,2/28/2025 15:26,3/3/2025,（有）山本製作所,フレコン,0,1000kg,,,,,12/31/9999,,,
-1351,1,225022405,GTR-12,999-9999,1.25,46.9,2.8,95,0,0.1,1,3.7,13.9,26.4,39.4,13.7,1.5,0.3,0,64.06,2/24/2025 13:37,3/3/2025,（株）ツチヨシ・マテック　豊橋工場,フレコン,0,1000kg,,,,"抗折力　　45～50	粒度分布　58～68	粘着点　　95～105　",12/31/9999,,,
-1350,1,225022707,RV-3BN,999-9999,3,66.5,3,103,0,0,0.1,4.9,18.6,35.1,30.9,8.5,1.8,0.1,0,59.33,2/27/2025 13:53,3/3/2025,（株）ツチヨシ・マテック　豊橋工場,フレコン,0,1500kg,,,,"抗折力　　60～70	粒度分布　58～65	粘着点　　95～105",12/31/9999,,,
-1349,1,225021215,RV-3B,999-9999,3,67.1,2.4,98,0,0,0.1,4,22.3,34.1,28.1,9.5,1.8,0.1,0,59.08,2/12/2025 13:50,3/3/2025,（株）ツチヨシ・マテック　豊橋工場,フレコン,0,500kg,,,,"抗折力　　60～70	粒度分布　58～65	粘着点　　95～105",12/31/9999,,,
